year,journal,title,doi,doi link,xplore id,ieee xplore direct link,ieee xplore pdf direct link,pdf filename
2021,TVCG,Impact of Cognitive Biases on Progressive Visualization,10.1109/TVCG.2021.3051013,https://doi.org/10.1109/TVCG.2021.3051013,9320596,https://ieeexplore.ieee.org/document/9320596,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9320596,09320596.pdf
2021,TVCG,Interactive Visual Exploration of Longitudinal Historical Career Mobility Data,10.1109/TVCG.2021.3067200,https://doi.org/10.1109/TVCG.2021.3067200,9382844,https://ieeexplore.ieee.org/document/9382844,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9382844,09382844.pdf
2021,TVCG,Declutter and Focus: Empirically Evaluating Design Guidelines for Effective Data Communication,10.1109/TVCG.2021.3068337,https://doi.org/10.1109/TVCG.2021.3068337,9385921,https://ieeexplore.ieee.org/document/9385921,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9385921,09385921.pdf
2021,TVCG,Visual Analysis of Multi-Parameter Distributions across Ensembles of 3D Fields,10.1109/TVCG.2021.3061925,https://doi.org/10.1109/TVCG.2021.3061925,9362264,https://ieeexplore.ieee.org/document/9362264,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9362264,09362264.pdf
2021,TVCG,FTK: A Simplicial Spacetime Meshing Framework for Robust and Scalable Feature Tracking,10.1109/TVCG.2021.3073399,https://doi.org/10.1109/TVCG.2021.3073399,9405464,https://ieeexplore.ieee.org/document/9405464,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9405464,09405464.pdf
2021,TVCG,Visualization of 3D stress tensor fields using superquadric glyphs on displacement streamlines,10.1109/TVCG.2020.2968911,https://doi.org/10.1109/TVCG.2020.2968911,8967163,https://ieeexplore.ieee.org/document/8967163,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8967163,08967163.pdf
2021,TVCG,Inspecting the Running Process of Horizontal Federated Learning via Visual Analytics,10.1109/TVCG.2021.3074010,https://doi.org/10.1109/TVCG.2021.3074010,9408377,https://ieeexplore.ieee.org/document/9408377,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9408377,09408377.pdf
2021,TVCG,The Unmet Data Visualization Needs of Decision Makers within Organizations,10.1109/TVCG.2021.3074023,https://doi.org/10.1109/TVCG.2021.3074023,9408391,https://ieeexplore.ieee.org/document/9408391,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9408391,09408391.pdf
2021,TVCG,Interactive Focus+Context Rendering for Hexahedral Mesh Inspection,10.1109/TVCG.2021.3074607,https://doi.org/10.1109/TVCG.2021.3074607,9409710,https://ieeexplore.ieee.org/document/9409710,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9409710,09409710.pdf
2021,TVCG,Real-Time Denoising of Volumetric Path Tracing for Direct Volume Rendering,10.1109/TVCG.2020.3037680,https://doi.org/10.1109/TVCG.2020.3037680,9258424,https://ieeexplore.ieee.org/document/9258424,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9258424,09258424.pdf
