PCS-ID,Title,Year,DOI,DOI URL
1540,When One Point Is Not Enough: Addressing Ambiguous Instances in Dimensionality Reduction by Splitting,2026,10.vis2026/1540,https://doi.org/10.vis2026/1540
1550,Mind the Badge: How Visualization Badges Impact Reading Visualizations,2026,10.vis2026/1550,https://doi.org/10.vis2026/1550
1556,CellPrism: A Visual Analytics System for Exploring AI-Driven Virtual Cells in Drug Discovery,2026,10.vis2026/1556,https://doi.org/10.vis2026/1556
1561,"GraphPolaris: A System for Query, Analysis, and Visualization of Graph Databases",2026,10.vis2026/1561,https://doi.org/10.vis2026/1561
1563,Spatial Visual Analytics for Multi-Document Summary Verification,2026,10.vis2026/1563,https://doi.org/10.vis2026/1563
1565,"Data Visualization Style Guides in Practice: Why They Emerge, How They Work, and When They Bend",2026,10.vis2026/1565,https://doi.org/10.vis2026/1565
1569,ForestVis: Visualization of 3D Forestry Point Clouds,2026,10.vis2026/1569,https://doi.org/10.vis2026/1569
1571,Touching or Chatting: The Utility of LLMs and Tactile Charts for Learning about Complex Chart Types by BLV Individuals,2026,10.vis2026/1571,https://doi.org/10.vis2026/1571
1580,DataMagic: Authoring Data Videos through Declarative Multi-Agent Orchestration,2026,10.vis2026/1580,https://doi.org/10.vis2026/1580
1581,CatPAL: Task-Aware Learning for Categorical Palette Recommendation,2026,10.vis2026/1581,https://doi.org/10.vis2026/1581
1587,KeySI: An Interaction Framework for Tuning Text Embeddings Based on Human Feedback,2026,10.vis2026/1587,https://doi.org/10.vis2026/1587
1590,Vibes on Demand: Adding Vibrotactile Encoding to Line Charts Shows Experiential Benefits Without Performance Costs,2026,10.vis2026/1590,https://doi.org/10.vis2026/1590
1603,HealthTale: A Patient-Centric Health Story Visualization Tool,2026,10.vis2026/1603,https://doi.org/10.vis2026/1603
1610,Seeing Through the Forecast Clutter: Communicating Climate Forecast Distributions with Weighted Multiple Forecast Visualizations,2026,10.vis2026/1610,https://doi.org/10.vis2026/1610
1611,Visualizing and Interpreting Temporal Care Team Dynamics for Cancer Survival Risk Analysis,2026,10.vis2026/1611,https://doi.org/10.vis2026/1611
1613,EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed and GPU-Parallel Lossy Compression,2026,10.vis2026/1613,https://doi.org/10.vis2026/1613
1615,Skeleton: Visual Authoring of Non-visual Data Experiences,2026,10.vis2026/1615,https://doi.org/10.vis2026/1615
1620,VeriLLMed: Visual Debugging of Medical Large Language Models with Knowledge Graphs,2026,10.vis2026/1620,https://doi.org/10.vis2026/1620
1627,Conversational Tactile Data Interfaces: Co-Designing Accessible Data Experiences with Blind Users Using Refreshable Tactile Displays and Conversational AI,2026,10.vis2026/1627,https://doi.org/10.vis2026/1627
1634,A Design Space for Quantum Circuit Visualizations,2026,10.vis2026/1634,https://doi.org/10.vis2026/1634
1636,How Do Researchers Manage Visualization Experiment Stimuli?,2026,10.vis2026/1636,https://doi.org/10.vis2026/1636
1640,From Scalars to Time Series: Rethinking Implicit Neural Representations for Time-Varying Volumetric Data,2026,10.vis2026/1640,https://doi.org/10.vis2026/1640
1652,"""It Seems Like Such a Simple Thing"": Challenges and Opportunities for Giving Credit in Science Museums",2026,10.vis2026/1652,https://doi.org/10.vis2026/1652
1674,An Algorithmic Perspective on Information Visualization,2026,10.vis2026/1674,https://doi.org/10.vis2026/1674
1675,SOCAS: A Social Media Public Opinion Causal Analysis System Validated by the Funnel of Causality Theory,2026,10.vis2026/1675,https://doi.org/10.vis2026/1675
1678,Designing a Visualization Atlas: Lessons & Reflections from The UK Co-Benefits Atlas for Climate Mitigation,2026,10.vis2026/1678,https://doi.org/10.vis2026/1678
1692,SNAP-tFDP: Massively Scalable Graph Layouts via Sparse Negative Sampling,2026,10.vis2026/1692,https://doi.org/10.vis2026/1692
1702,Walking through Discussions: A Mobile Visual Analytics System for In-Situ Group Discussion Analysis,2026,10.vis2026/1702,https://doi.org/10.vis2026/1702
1723,VizPilot: Automated Onboarding for SVG-based Composite Visualizations using Multimodal LLMs,2026,10.vis2026/1723,https://doi.org/10.vis2026/1723
1733,Mixed Uncertainty in One View: Co-Visualizing Statistical Variability and Qualitative Confidence,2026,10.vis2026/1733,https://doi.org/10.vis2026/1733
